Date,Open,High,Low,Close,Volume,Adj Close
2015-03-06,0.30,0.32,0.30,0.32,6200,0.32
2015-03-05,0.28,0.30,0.27,0.30,56900,0.30
2015-03-04,0.25,0.30,0.25,0.28,147100,0.28
2015-03-03,0.30,0.31,0.25,0.30,69200,0.30
2015-03-02,0.32,0.32,0.29,0.31,43500,0.31
2015-02-27,0.31,0.32,0.31,0.31,26900,0.31
2015-02-26,0.28,0.31,0.28,0.31,77200,0.31
2015-02-25,0.32,0.33,0.28,0.28,215100,0.28
2015-02-24,0.31,0.33,0.31,0.33,7700,0.33
2015-02-23,0.35,0.35,0.32,0.33,44300,0.33
2015-02-20,0.34,0.35,0.32,0.35,108300,0.35
2015-02-19,0.35,0.35,0.35,0.35,10000,0.35
2015-02-18,0.33,0.36,0.33,0.36,37100,0.36
2015-02-17,0.35,0.35,0.32,0.35,3800,0.35
2015-02-13,0.34,0.35,0.32,0.33,49200,0.33
2015-02-12,0.36,0.36,0.34,0.35,34000,0.35
2015-02-11,0.34,0.36,0.34,0.36,14700,0.36
2015-02-10,0.35,0.36,0.35,0.36,5700,0.36
2015-02-09,0.35,0.37,0.35,0.37,17900,0.37
2015-02-06,0.36,0.36,0.35,0.36,6300,0.36
2015-02-05,0.36,0.36,0.36,0.36,000,0.36
2015-02-04,0.35,0.37,0.35,0.36,22000,0.36
2015-02-03,0.35,0.37,0.35,0.37,21400,0.37
2015-02-02,0.37,0.37,0.35,0.37,48500,0.37
2015-01-30,0.35,0.37,0.35,0.37,14100,0.37
2015-01-29,0.34,0.36,0.34,0.36,11100,0.36
2015-01-28,0.34,0.37,0.34,0.37,70100,0.37
2015-01-27,0.37,0.37,0.34,0.34,16500,0.34
2015-01-26,0.33,0.37,0.32,0.37,10200,0.37
2015-01-23,0.32,0.33,0.32,0.33,6100,0.33
2015-01-22,0.31,0.33,0.31,0.32,61900,0.32
2015-01-21,0.31,0.33,0.31,0.31,16500,0.31
2015-01-20,0.35,0.36,0.31,0.33,62600,0.33
2015-01-16,0.33,0.36,0.33,0.35,181100,0.35
2015-01-15,0.40,0.40,0.32,0.33,265000,0.33
2015-01-14,0.42,0.42,0.38,0.40,25000,0.40
2015-01-13,0.37,0.38,0.37,0.38,30900,0.38
2015-01-12,0.38,0.44,0.37,0.38,68200,0.38
2015-01-09,0.37,0.41,0.37,0.39,250800,0.39
2015-01-08,0.37,0.39,0.37,0.37,50800,0.37
2015-01-07,0.37,0.39,0.36,0.39,12900,0.39
2015-01-06,0.43,0.43,0.38,0.39,45100,0.39
2015-01-05,0.40,0.44,0.40,0.43,32800,0.43
2015-01-02,0.38,0.40,0.38,0.40,2000,0.40
2014-12-31,0.36,0.40,0.36,0.40,322300,0.40
2014-12-30,0.39,0.40,0.33,0.36,198100,0.36
2014-12-29,0.40,0.42,0.39,0.39,61100,0.39
2014-12-26,0.40,0.42,0.40,0.41,42800,0.41
2014-12-24,0.40,0.42,0.40,0.40,11600,0.40
2014-12-23,0.39,0.42,0.39,0.40,37600,0.40
2014-12-22,0.39,0.41,0.39,0.41,99000,0.41
2014-12-19,0.38,0.40,0.38,0.39,20000,0.39
2014-12-18,0.41,0.41,0.36,0.39,70700,0.39
2014-12-17,0.40,0.42,0.39,0.40,69600,0.40
2014-12-16,0.42,0.42,0.36,0.39,135300,0.39
2014-12-15,0.42,0.43,0.42,0.42,11300,0.42
2014-12-12,0.42,0.44,0.42,0.42,11900,0.42
2014-12-11,0.43,0.44,0.42,0.42,34900,0.42
2014-12-10,0.44,0.44,0.42,0.44,63700,0.44
2014-12-09,0.44,0.45,0.44,0.44,67600,0.44
2014-12-08,0.45,0.46,0.44,0.44,56500,0.44
2014-12-05,0.45,0.47,0.45,0.46,41300,0.46
2014-12-04,0.46,0.47,0.44,0.47,12200,0.47
2014-12-03,0.46,0.47,0.46,0.47,42800,0.47
2014-12-02,0.46,0.48,0.46,0.47,22900,0.47
2014-12-01,0.49,0.49,0.45,0.47,72100,0.47
2014-11-28,0.50,0.50,0.45,0.49,40700,0.49
2014-11-26,0.49,0.50,0.48,0.50,54900,0.50
2014-11-25,0.48,0.50,0.47,0.49,48100,0.49
2014-11-24,0.48,0.51,0.48,0.50,29600,0.50
2014-11-21,0.46,0.49,0.46,0.48,89100,0.48
2014-11-20,0.52,0.52,0.45,0.46,79600,0.46
2014-11-19,0.46,0.52,0.45,0.52,12100,0.52
2014-11-18,0.46,0.49,0.46,0.48,38900,0.48
2014-11-17,0.48,0.48,0.46,0.48,8200,0.48
2014-11-14,0.50,0.51,0.46,0.48,303000,0.48
2014-11-13,0.50,0.53,0.50,0.50,21600,0.50
2014-11-12,0.49,0.52,0.49,0.52,49300,0.52
2014-11-11,0.48,0.52,0.48,0.52,74700,0.52
2014-11-10,0.53,0.54,0.50,0.51,71300,0.51
2014-11-07,0.52,0.53,0.52,0.53,11100,0.53
2014-11-06,0.55,0.56,0.52,0.54,41800,0.54
2014-11-05,0.55,0.55,0.51,0.54,83200,0.54
2014-11-04,0.54,0.54,0.52,0.53,25700,0.53
2014-11-03,0.49,0.58,0.49,0.54,151100,0.54
2014-10-31,0.49,0.51,0.47,0.51,85200,0.51
2014-10-30,0.50,0.51,0.49,0.51,73600,0.51
2014-10-29,0.54,0.54,0.50,0.51,41100,0.51
2014-10-28,0.52,0.54,0.50,0.54,39300,0.54
2014-10-27,0.52,0.54,0.50,0.54,9900,0.54
2014-10-24,0.55,0.55,0.49,0.54,6800,0.54
2014-10-23,0.49,0.53,0.49,0.53,37700,0.53
2014-10-22,0.52,0.52,0.42,0.49,63500,0.49
2014-10-21,0.55,0.55,0.50,0.55,7600,0.55
2014-10-20,0.50,0.55,0.50,0.52,25500,0.52
2014-10-17,0.55,0.55,0.49,0.55,22100,0.55
2014-10-16,0.55,0.55,0.53,0.54,11500,0.54
2014-10-15,0.53,0.55,0.40,0.54,139100,0.54
2014-10-14,0.50,0.54,0.49,0.51,73700,0.51
2014-10-13,0.50,0.50,0.48,0.50,45800,0.50
2014-10-10,0.48,0.50,0.48,0.50,19400,0.50
2014-10-09,0.49,0.50,0.47,0.50,39200,0.50
2014-10-08,0.50,0.54,0.49,0.49,64900,0.49
2014-10-07,0.50,0.57,0.49,0.51,126900,0.51
2014-10-06,0.51,0.51,0.47,0.48,37300,0.48
2014-10-03,0.47,0.49,0.46,0.49,70700,0.49
2014-10-02,0.50,0.50,0.46,0.49,9000,0.49
2014-10-01,0.49,0.50,0.45,0.47,118700,0.47
2014-09-30,0.51,0.53,0.49,0.50,23500,0.50
2014-09-29,0.50,0.53,0.50,0.51,59400,0.51
2014-09-26,0.51,0.54,0.45,0.52,27200,0.52
2014-09-25,0.52,0.54,0.40,0.54,163900,0.54
2014-09-24,0.49,0.54,0.45,0.54,303700,0.54
2014-09-23,0.55,0.58,0.47,0.50,237400,0.50
2014-09-22,0.59,0.59,0.56,0.58,44500,0.58
2014-09-19,0.69,0.69,0.59,0.65,30200,0.65
2014-09-18,0.65,0.69,0.65,0.68,25500,0.68
2014-09-17,0.65,0.69,0.62,0.69,14400,0.69
2014-09-16,0.62,0.65,0.62,0.65,11600,0.65
2014-09-15,0.65,0.65,0.65,0.65,7300,0.65
2014-09-12,0.58,0.64,0.56,0.64,44000,0.64
2014-09-11,0.61,0.62,0.55,0.58,232200,0.58
2014-09-10,0.63,0.65,0.62,0.62,75600,0.62
2014-09-09,0.67,0.69,0.61,0.65,146800,0.65
2014-09-08,0.70,0.75,0.68,0.68,114400,0.68
2014-09-05,0.75,0.75,0.71,0.71,23200,0.71
2014-09-04,0.76,0.76,0.70,0.75,33600,0.75
2014-09-03,0.72,0.77,0.69,0.75,90800,0.75
2014-09-02,0.78,0.78,0.70,0.73,60600,0.73
2014-08-29,0.81,0.81,0.75,0.80,6600,0.80
2014-08-28,0.84,0.84,0.76,0.81,37500,0.81
2014-08-27,0.88,0.88,0.65,0.84,319500,0.84
