Date,Open,High,Low,Close,Volume,Adj Close
2015-03-06,187.58,191.40,186.58,186.91,4095500,186.91
2015-03-05,190.13,190.72,189.07,190.08,1310100,190.08
2015-03-04,190.35,190.82,188.98,189.67,1615500,189.67
2015-03-03,190.70,192.87,190.57,191.27,1487800,191.27
2015-03-02,190.00,191.92,189.78,191.79,1659400,191.79
2015-02-27,191.19,192.50,189.79,189.79,2572400,189.79
2015-02-26,190.51,192.47,190.00,192.20,2449300,192.20
2015-02-25,191.55,192.45,190.46,191.72,2775700,191.12
2015-02-24,190.03,193.28,189.68,192.22,2627300,191.62
2015-02-23,190.74,190.74,189.27,190.31,1691100,189.71
2015-02-20,188.35,191.64,187.05,191.51,2317100,190.91
2015-02-19,187.68,189.85,187.27,189.11,1470400,188.52
2015-02-18,189.54,190.04,187.82,188.67,1850700,188.08
2015-02-17,188.78,190.63,188.31,190.02,2123300,189.43
2015-02-13,189.87,191.33,188.34,189.00,2720400,188.41
2015-02-12,188.25,190.00,187.40,189.78,3086700,189.19
2015-02-11,184.07,188.19,183.75,187.65,4079600,187.06
2015-02-10,183.35,184.80,182.35,184.56,2556300,183.98
2015-02-09,181.69,182.95,181.15,182.22,2421900,181.65
2015-02-06,182.05,184.62,181.14,183.43,3224100,182.86
2015-02-05,179.44,181.60,179.23,180.77,2434400,180.20
2015-02-04,178.72,180.71,178.53,178.78,2980500,178.22
2015-02-03,176.01,180.48,175.91,180.24,3766900,179.68
2015-02-02,172.99,175.60,172.26,175.49,2975300,174.94
2015-01-30,174.13,175.69,172.32,172.41,3037400,171.87
2015-01-29,173.18,176.30,173.07,175.99,2421400,175.44
2015-01-28,177.73,177.97,172.97,173.05,3017300,172.51
2015-01-27,177.24,178.64,176.30,176.49,3335600,175.94
2015-01-26,178.72,180.99,178.06,180.42,2736500,179.86
2015-01-23,181.43,182.98,180.42,180.49,3123800,179.93
2015-01-22,178.81,182.59,177.25,182.04,6228200,181.47
2015-01-21,174.55,178.39,172.82,177.15,3737000,176.60
2015-01-20,177.57,178.33,174.23,175.63,3606600,175.08
2015-01-16,176.73,180.10,174.06,177.23,5124100,176.68
