Date,Open,High,Low,Close,Volume,Adj Close
2015-03-06,47.16,47.28,46.72,46.73,2896800,46.73
2015-03-05,48.00,48.03,47.51,47.60,2492800,47.60
2015-03-04,47.75,47.99,47.34,47.82,3041500,47.82
2015-03-03,48.02,48.11,47.51,47.71,2923100,47.71
2015-03-02,47.48,47.97,47.45,47.93,2726400,47.93
2015-02-27,47.58,47.73,47.35,47.42,3506800,47.42
2015-02-26,47.74,47.97,47.69,47.84,3346800,47.84
2015-02-25,47.73,47.89,47.49,47.72,4877700,47.72
2015-02-24,47.41,47.79,47.24,47.70,4490300,47.70
2015-02-23,47.13,47.49,47.05,47.29,2416400,47.29
2015-02-20,46.97,47.35,46.79,47.35,2287200,47.35
2015-02-19,47.13,47.26,46.71,47.03,2703100,47.03
2015-02-18,47.14,47.38,47.08,47.30,3269900,47.30
2015-02-17,47.32,47.85,47.16,47.71,3906100,47.01
2015-02-13,47.49,47.96,47.38,47.94,6009500,47.24
2015-02-12,45.86,46.01,45.56,45.95,3597500,45.28
2015-02-11,46.14,46.28,46.04,46.21,2509600,45.54
2015-02-10,46.13,46.30,46.13,46.25,3774100,45.58
2015-02-09,46.15,46.50,46.03,46.39,5759400,45.71
2015-02-06,46.62,46.63,45.87,46.00,5924500,45.33
2015-02-05,45.84,46.02,45.53,45.95,5129900,45.28
2015-02-04,45.00,45.14,44.44,44.95,5885800,44.30
2015-02-03,44.28,44.30,43.92,44.26,4882700,43.62
2015-02-02,44.11,44.12,43.71,43.96,3654500,43.32
2015-01-30,44.61,44.67,44.00,44.00,3054600,43.36
2015-01-29,45.35,45.35,44.74,45.16,3144900,44.50
2015-01-28,45.45,45.57,44.94,44.99,3613000,44.33
2015-01-27,45.33,45.37,44.98,45.16,3954500,44.50
2015-01-26,45.00,45.38,44.84,45.19,3382300,44.53
2015-01-23,44.87,45.25,44.77,45.01,3102900,44.35
2015-01-22,44.84,45.24,44.76,44.96,4781800,44.31
2015-01-21,44.10,44.78,43.96,44.71,5039300,44.06
2015-01-20,44.16,44.23,43.69,44.16,4343900,43.52
2015-01-16,43.20,43.71,43.11,43.70,3124200,43.06
2015-01-15,42.85,43.12,42.54,42.91,3970500,42.28
2015-01-14,42.46,42.88,42.44,42.85,3441800,42.23
2015-01-13,43.43,43.58,42.68,42.91,3214700,42.28
2015-01-12,43.04,43.16,42.46,42.93,4714400,42.30
2015-01-09,42.99,43.08,42.63,42.80,3331900,42.18
2015-01-08,42.88,43.33,42.79,43.19,5294700,42.56
2015-01-07,41.76,42.25,41.59,42.11,6025800,41.50
2015-01-06,41.73,42.07,41.25,41.68,6444100,41.07
2015-01-05,41.62,42.01,41.41,41.91,7301100,41.30
2015-01-02,42.70,42.89,42.35,42.37,3116600,41.75
2014-12-31,42.91,43.10,42.71,42.74,2610600,42.12
2014-12-30,42.81,42.99,42.66,42.79,3269000,42.17
2014-12-29,43.45,43.50,43.18,43.21,2951300,42.58
2014-12-26,42.97,43.29,42.90,43.15,1985400,42.52
2014-12-24,42.75,42.91,42.73,42.85,1336900,42.23
2014-12-23,43.28,43.31,42.62,42.74,4711200,42.12
2014-12-22,43.75,43.77,43.25,43.44,4329200,42.81
2014-12-19,43.08,43.58,42.98,43.35,3510500,42.72
2014-12-18,42.86,43.31,42.66,43.29,5534000,42.66
2014-12-17,41.91,42.30,41.73,42.04,4131600,41.43
2014-12-16,41.46,42.39,41.38,41.92,5865600,41.31
2014-12-15,42.37,42.53,41.29,41.30,5473800,40.70
2014-12-12,43.33,43.70,42.41,42.42,4894400,41.80
2014-12-11,43.41,43.91,43.26,43.35,4677400,42.72
2014-12-10,43.27,43.57,43.20,43.49,13732200,42.86
2014-12-09,44.88,44.92,43.90,44.11,8004100,43.47
2014-12-08,45.85,45.94,45.51,45.56,2805600,44.90
2014-12-05,45.91,46.11,45.74,46.04,2436900,45.37
2014-12-04,46.13,46.30,45.82,45.89,2956100,45.22
2014-12-03,46.74,46.88,46.58,46.71,2384000,46.03
2014-12-02,46.97,47.18,46.87,47.14,2332300,46.45
2014-12-01,46.94,47.08,46.79,46.92,3460600,46.24
2014-11-28,46.53,46.73,46.42,46.45,1409700,45.77
2014-11-26,46.45,46.57,46.30,46.52,2047500,45.84
2014-11-25,46.12,46.48,46.07,46.28,2773700,45.61
2014-11-24,46.39,46.40,46.10,46.27,2596700,45.60
2014-11-21,46.34,46.63,46.26,46.40,2977500,45.72
2014-11-20,46.41,46.55,46.26,46.38,2879600,45.70
2014-11-19,46.22,46.46,45.96,46.25,3216500,45.58
2014-11-18,46.02,46.29,45.98,46.28,3511100,45.61
2014-11-17,45.73,46.03,45.71,45.88,3170500,45.21
2014-11-14,45.67,45.81,45.62,45.74,2591700,45.07
2014-11-13,45.65,45.90,45.55,45.66,3048100,44.99
2014-11-12,45.70,45.81,45.41,45.62,2819000,44.96
2014-11-11,45.62,45.96,45.47,45.96,4136500,45.29
2014-11-10,45.23,45.32,45.08,45.16,2056200,44.50
2014-11-07,44.90,45.00,44.72,44.91,4143200,44.26
2014-11-06,45.11,45.20,44.69,44.75,3262000,44.10
2014-11-05,45.43,45.47,45.08,45.14,3618300,44.48
2014-11-04,45.60,45.65,45.41,45.56,3246200,44.29
2014-11-03,45.49,45.60,45.22,45.49,2819900,44.22
2014-10-31,45.29,45.51,45.16,45.49,3553800,44.22
