Date,Open,High,Low,Close,Volume,Adj Close
2015-03-06,50.10,50.85,49.59,49.86,3802500,49.86
2015-03-05,50.83,51.04,50.36,50.58,3890200,50.58
2015-03-04,50.80,51.06,50.37,50.70,4088700,50.70
2015-03-03,51.60,51.87,51.14,51.45,2243100,51.19
2015-03-02,50.98,52.00,50.81,51.90,4465600,51.64
2015-02-27,50.56,50.94,50.45,50.81,2758700,50.55
2015-02-26,51.23,51.28,50.68,50.96,2451000,50.70
2015-02-25,50.75,51.39,50.66,51.34,4080200,51.08
2015-02-24,50.20,50.99,50.10,50.79,3369600,50.53
2015-02-23,50.32,50.54,49.99,50.23,2935900,49.98
2015-02-20,49.64,50.61,49.17,50.58,4355000,50.32
2015-02-19,49.81,50.38,49.60,49.90,4447500,49.65
2015-02-18,48.75,49.89,48.70,49.81,5383700,49.56
2015-02-17,48.70,48.94,48.35,48.85,3021600,48.60
2015-02-13,48.10,48.53,47.86,48.50,2468600,48.25
2015-02-12,48.01,48.22,47.80,48.00,3744500,47.76
2015-02-11,48.20,48.26,47.50,47.84,2313700,47.60
2015-02-10,48.64,48.69,47.84,48.22,4048100,47.98
2015-02-09,48.46,48.75,48.12,48.19,2333400,47.95
2015-02-06,48.40,49.08,48.40,48.63,2923800,48.38
2015-02-05,48.22,48.50,48.02,48.37,2679300,48.13
2015-02-04,48.58,48.64,47.98,48.11,3517400,47.87
2015-02-03,47.65,48.55,47.59,48.49,4412300,48.24
2015-02-02,46.61,47.58,46.28,47.44,2909700,47.20
2015-01-30,46.51,47.01,46.31,46.47,4227600,46.24
2015-01-29,46.17,47.09,45.96,47.02,2592300,46.78
2015-01-28,46.68,46.83,45.98,46.05,2904600,45.82
2015-01-27,46.58,46.81,46.00,46.48,2661200,46.25
2015-01-26,47.43,47.66,47.04,47.40,3493700,47.16
2015-01-23,47.94,48.20,47.15,47.60,4469000,47.36
2015-01-22,47.25,48.29,46.88,48.03,5342000,47.79
2015-01-21,45.05,46.06,44.97,45.85,4870900,45.62
2015-01-20,45.37,45.49,44.68,45.24,4445700,45.01
2015-01-16,44.81,45.48,44.49,45.39,4165600,45.16
2015-01-15,45.50,45.61,44.89,44.95,3340600,44.72
2015-01-14,45.44,45.44,44.32,45.22,3606000,44.99
2015-01-13,46.19,47.16,45.42,45.91,2575400,45.68
2015-01-12,46.68,46.79,45.96,46.09,2595300,45.86
2015-01-09,47.50,47.60,46.25,46.76,2276000,46.52
2015-01-08,46.76,47.38,46.72,47.25,2575700,47.01
2015-01-07,46.14,46.49,45.82,46.38,2824500,46.15
2015-01-06,46.40,46.53,45.40,45.78,3289800,45.55
2015-01-05,47.67,47.77,46.24,46.31,3101800,46.08
2015-01-02,48.57,48.76,47.55,48.00,1783500,47.76
2014-12-31,48.60,48.90,48.31,48.34,2031900,48.10
2014-12-30,48.93,48.98,48.34,48.40,1758600,48.16
2014-12-29,48.60,49.26,48.52,48.97,1911000,48.72
2014-12-26,48.74,49.10,48.69,48.87,1833100,48.62
2014-12-24,48.81,48.81,48.46,48.50,1348100,48.25
2014-12-23,48.94,49.07,48.72,48.73,2070600,48.48
2014-12-22,48.37,48.59,48.12,48.50,2491900,48.25
2014-12-19,47.34,48.45,47.23,48.22,7224900,47.98
2014-12-18,46.35,47.21,46.14,47.20,4723900,46.96
2014-12-17,44.97,45.81,44.66,45.68,3591300,45.45
2014-12-16,45.41,46.23,44.89,44.90,4819200,44.67
2014-12-15,46.36,46.47,45.53,45.64,3278700,45.41
2014-12-12,46.81,47.03,46.10,46.12,2818200,45.89
2014-12-11,47.07,47.70,46.93,47.30,4428400,47.06
2014-12-10,47.85,47.88,46.79,46.80,3268600,46.56
2014-12-09,48.30,48.30,47.36,48.17,5042600,47.67
2014-12-08,49.47,49.53,48.79,48.89,2269900,48.38
2014-12-05,49.91,50.03,49.44,49.60,3350400,49.08
2014-12-04,50.30,50.55,49.75,49.90,2512700,49.38
2014-12-03,50.22,50.83,50.10,50.34,6653100,49.82
2014-12-02,49.24,50.22,49.19,49.94,3818800,49.42
2014-12-01,49.63,49.74,49.00,49.18,5136000,48.67
2014-11-28,50.11,50.48,49.87,50.00,1931900,49.48
2014-11-26,50.26,50.35,49.60,49.89,4476200,49.37
2014-11-25,50.60,50.66,50.25,50.27,4139700,49.75
2014-11-24,50.44,50.77,50.34,50.52,3858900,49.99
2014-11-21,50.62,50.92,50.10,50.17,5077900,49.65
2014-11-20,49.94,50.46,49.87,50.07,4373900,49.55
2014-11-19,50.12,50.48,49.95,50.19,3067100,49.67
2014-11-18,49.61,50.37,49.61,50.23,2560800,49.71
2014-11-17,49.35,49.82,49.29,49.72,2246100,49.20
2014-11-14,49.28,49.46,49.17,49.41,3179900,48.89
2014-11-13,49.58,49.73,49.29,49.41,3541400,48.89
2014-11-12,49.33,49.73,49.09,49.54,3705200,49.02
2014-11-11,49.07,49.70,49.03,49.58,2465200,49.06
2014-11-10,48.75,49.28,48.45,49.17,2629700,48.66
2014-11-07,49.30,49.58,48.51,48.76,5469800,48.25
2014-11-06,48.62,49.69,48.51,49.41,4351700,48.89
2014-11-05,47.98,48.63,47.84,48.56,2976400,48.05
2014-11-04,47.57,47.98,47.50,47.69,3869900,47.19
2014-11-03,47.40,48.37,47.40,47.83,4789100,47.33
2014-10-31,46.42,47.46,46.40,47.25,6617900,46.76
2014-10-30,44.06,46.00,43.50,45.79,5071000,45.31
2014-10-29,44.44,44.61,43.69,44.42,4667700,43.96
2014-10-28,44.00,44.41,43.68,44.40,3993900,43.94
2014-10-27,43.44,43.84,42.86,43.74,5328700,43.28
2014-10-24,42.91,43.59,42.52,43.57,4023700,43.12
2014-10-23,42.07,42.94,42.07,42.76,3073400,42.31
2014-10-22,42.18,42.35,41.61,41.68,3074100,41.25
2014-10-21,41.13,42.02,41.06,41.99,4082900,41.55
2014-10-20,40.84,40.88,40.42,40.79,3962800,40.36
2014-10-17,41.26,41.62,40.49,40.92,4830500,40.49
2014-10-16,39.17,40.81,39.16,40.69,4196400,40.27
2014-10-15,39.55,40.09,38.60,39.90,7600600,39.48
2014-10-14,40.19,40.61,39.23,40.34,6094700,39.92
2014-10-13,40.74,41.18,40.16,40.24,4680600,39.82
2014-10-10,42.17,42.42,41.26,41.27,4467600,40.84
2014-10-09,44.14,44.16,42.23,42.28,4679400,41.84
2014-10-08,43.66,44.25,43.09,44.22,3775500,43.76
2014-10-07,44.43,44.54,43.72,43.72,3271600,43.26
2014-10-06,44.94,45.02,44.59,44.72,1798900,44.25
2014-10-03,45.03,45.20,44.63,44.82,3271800,44.35
2014-10-02,44.11,44.75,43.82,44.68,3313000,44.21
2014-10-01,44.03,44.35,43.81,44.07,4986700,43.61
2014-09-30,44.38,44.53,43.74,44.00,4463100,43.54
2014-09-29,44.85,44.91,44.34,44.39,3440200,43.93
2014-09-26,44.80,45.06,44.56,45.02,3193100,44.55
2014-09-25,45.27,45.27,44.63,44.65,3234300,44.18
2014-09-24,45.37,45.45,45.05,45.32,3271100,44.85
2014-09-23,45.48,45.73,45.17,45.30,3111800,44.83
2014-09-22,46.27,46.38,45.66,45.70,3517800,45.22
2014-09-19,46.68,46.84,46.41,46.50,4356800,46.02
2014-09-18,46.43,46.77,46.27,46.54,3431600,46.05
2014-09-17,46.12,46.56,46.08,46.37,3645100,45.89
2014-09-16,45.89,46.20,45.72,46.01,1910300,45.53
2014-09-15,46.42,46.55,45.96,46.02,2843500,45.54
2014-09-12,46.99,46.99,46.32,46.58,2245700,46.09
2014-09-11,46.65,46.99,46.58,46.97,2408800,46.48
2014-09-10,47.22,47.41,46.95,46.97,2238500,46.48
2014-09-09,47.57,47.57,47.04,47.05,3082000,46.56
2014-09-08,47.77,48.01,47.52,47.73,2105600,47.23
2014-09-05,48.00,48.04,47.57,47.95,3624600,47.45
2014-09-04,48.48,48.57,47.91,48.10,2379100,47.60
2014-09-03,48.62,48.77,48.24,48.30,3799100,47.80
2014-09-02,48.81,49.15,48.38,48.71,1804400,47.98
