Date,Open,High,Low,Close,Volume,Adj Close
2015-03-02,7.32,7.32,7.32,7.32,000,7.32
2015-02-27,7.35,7.35,7.32,7.32,200,7.32
2015-02-26,6.60,6.60,6.60,6.60,000,6.60
2015-02-25,6.60,6.60,6.60,6.60,000,6.60
2015-02-24,6.60,6.60,6.60,6.60,000,6.60
2015-02-23,6.60,6.60,6.60,6.60,000,6.60
2015-02-20,6.60,6.60,6.60,6.60,000,6.60
2015-02-19,6.60,6.60,6.60,6.60,000,6.60
2015-02-18,6.60,6.60,6.60,6.60,000,6.60
2015-02-17,7.30,7.30,6.60,6.60,700,6.60
2015-02-16,7.22,7.22,7.22,7.22,000,7.22
2015-02-12,6.60,7.22,6.60,7.22,200,7.22
2015-02-11,6.70,6.70,6.70,6.70,000,6.70
2015-02-10,6.70,6.70,6.70,6.70,000,6.70
2015-02-09,7.23,7.23,6.70,6.70,600,6.70
2015-02-06,7.39,7.39,7.39,7.39,000,7.39
2015-02-05,7.39,7.39,7.39,7.39,000,7.39
2015-02-04,7.39,7.39,7.39,7.39,000,7.39
2015-02-03,7.39,7.39,7.39,7.39,000,7.39
2015-02-02,7.39,7.39,7.39,7.39,000,7.39
2015-01-30,7.39,7.39,7.39,7.39,000,7.39
2015-01-29,7.39,7.39,7.39,7.39,000,7.39
2015-01-28,7.39,7.39,7.39,7.39,000,7.39
2015-01-27,7.39,7.39,7.39,7.39,000,7.39
2015-01-26,7.39,7.39,7.39,7.39,000,7.39
2015-01-23,7.39,7.39,7.39,7.39,000,7.39
2015-01-22,7.39,7.39,7.39,7.39,000,7.39
2015-01-21,7.39,7.39,7.39,7.39,000,7.39
2015-01-20,7.39,7.39,7.39,7.39,000,7.39
2015-01-19,7.39,7.39,7.39,7.39,400,7.39
2015-01-16,7.00,7.00,7.00,7.00,000,7.00
2015-01-15,7.00,7.00,7.00,7.00,000,7.00
2015-01-14,7.00,7.00,7.00,7.00,000,7.00
2015-01-13,7.40,7.40,7.00,7.00,3700,7.00
2015-01-12,7.33,7.33,7.33,7.33,600,7.33
2015-01-09,7.30,7.35,7.30,7.35,100,7.35
2015-01-08,7.30,7.30,7.30,7.30,400,7.30
2015-01-07,7.29,7.29,7.29,7.29,1400,7.29
2015-01-06,7.20,7.20,7.20,7.20,000,7.20
2015-01-05,7.20,7.20,7.20,7.20,3100,7.20
2015-01-02,7.27,7.27,7.27,7.27,600,7.27
2015-01-01,7.45,7.45,7.45,7.45,000,7.45
2014-12-31,7.45,7.45,7.45,7.45,000,7.45
2014-12-30,7.45,7.45,7.45,7.45,000,7.45
2014-12-29,7.45,7.45,7.45,7.45,000,7.45
2014-12-26,7.45,7.45,7.45,7.45,000,7.45
2014-12-25,7.45,7.45,7.45,7.45,000,7.45
2014-12-24,7.45,7.45,7.45,7.45,000,7.45
2014-12-23,7.45,7.45,7.45,7.45,000,7.45
2014-12-22,7.21,7.45,7.21,7.45,500,7.45
2014-12-19,7.17,7.17,7.17,7.17,100,7.17
2014-12-18,7.17,7.17,7.17,7.17,500,7.17
2014-12-17,7.17,7.17,7.15,7.15,200,7.15
2014-12-16,7.15,7.15,7.15,7.15,600,7.15
2014-12-15,7.50,7.50,7.50,7.50,000,7.50
2014-12-12,7.50,7.50,7.50,7.50,1300,7.50
2014-12-11,7.50,7.50,7.50,7.50,1400,7.50
2014-12-10,6.90,6.90,6.90,6.90,500,6.90
2014-12-09,6.90,6.90,6.21,6.21,1000,6.21
2014-12-08,6.90,6.90,6.90,6.90,000,6.90
2014-12-05,6.66,6.90,6.66,6.90,600,6.90
2014-12-04,6.66,6.66,6.20,6.20,700,6.20
2014-12-03,6.65,6.65,6.65,6.65,000,6.65
2014-12-02,6.66,6.66,6.65,6.65,2800,6.65
2014-12-01,6.64,6.66,6.64,6.66,100,6.66
2014-11-28,6.64,6.64,6.64,6.64,000,6.64
2014-11-27,102.03,102.03,102.03,102.03,000,102.03
2014-11-26,100.49,103.17,99.85,102.03,5490200,102.03
2014-11-25,100.69,101.64,100.03,100.05,2151800,100.05
2014-11-24,98.15,100.45,97.91,99.85,5361100,99.85
2014-11-21,97.95,99.11,97.00,97.34,37169400,97.34
2014-11-20,99.05,101.10,97.90,97.90,9850900,97.90
2014-11-19,98.05,99.76,98.00,99.76,6012900,99.76
2014-11-18,97.76,99.40,97.73,98.30,5927900,98.30
2014-11-17,96.07,98.28,95.97,97.99,4760800,97.99
2014-11-14,94.12,96.61,93.90,96.25,5358600,96.25
2014-11-13,94.08,95.00,93.53,93.99,4731300,93.99
2014-11-12,94.02,94.98,93.77,94.20,3528600,94.20
2014-11-11,94.45,95.27,94.00,94.33,2856400,94.33
2014-11-10,95.04,95.49,94.19,94.35,3649900,94.35
2014-11-07,94.35,95.51,94.23,94.73,3283200,94.73
2014-11-06,92.56,94.52,92.30,94.50,3928700,94.50
2014-11-05,91.33,92.60,90.61,92.26,3168500,92.26
2014-11-04,92.41,93.07,90.83,91.05,2330600,91.05
2014-11-03,93.76,94.66,92.99,93.42,2973800,93.42
2014-10-31,94.55,94.92,93.75,93.80,2929100,93.80
2014-10-30,93.10,94.69,93.00,93.96,1675000,93.96
2014-10-29,94.64,95.15,92.51,93.51,2125200,93.51
2014-10-28,95.46,95.90,94.82,95.66,1649000,94.26
2014-10-27,95.15,95.56,94.28,95.27,2129300,93.88
2014-10-24,94.69,95.53,93.80,95.36,1396600,93.96
2014-10-23,94.09,95.88,94.08,94.98,2686900,93.59
2014-10-22,93.84,94.85,92.77,93.08,1963200,91.72
2014-10-21,92.47,93.74,92.01,93.49,2269900,92.12
2014-10-20,90.57,92.25,90.24,92.25,1601900,90.90
2014-10-17,91.63,92.31,89.33,89.91,3408900,88.59
2014-10-16,84.76,91.02,84.42,90.18,6638600,88.86
2014-10-15,83.39,86.65,81.63,86.29,4327800,85.03
2014-10-14,87.29,87.99,82.78,84.35,5789300,83.12
2014-10-13,89.43,91.00,87.20,87.28,2547300,86.00
2014-10-10,89.71,91.36,87.60,89.62,3019300,88.31
2014-10-09,93.14,93.60,90.01,90.01,2596300,88.69
2014-10-08,93.16,93.61,91.67,93.38,2506700,92.01
2014-10-07,93.99,95.00,93.31,93.31,1212500,91.94
2014-10-06,94.64,94.95,93.74,94.15,1122200,92.77
2014-10-03,95.70,96.10,94.45,94.45,2216100,93.07
2014-10-02,93.60,95.90,93.30,95.57,1744400,94.17
2014-10-01,92.95,94.01,92.94,93.19,1079200,91.83
2014-09-30,93.49,93.70,92.60,93.28,1373200,91.91
2014-09-29,93.00,93.83,92.45,93.60,783000,92.23
2014-09-26,92.10,93.48,91.40,93.45,1018700,92.08
2014-09-25,93.32,93.71,91.70,92.04,965800,90.69
2014-09-24,92.56,93.87,92.05,93.25,1199000,91.89
2014-09-23,91.45,93.07,91.23,92.91,1397800,91.55
2014-09-22,91.86,91.86,90.66,91.19,1567700,89.86
2014-09-19,92.95,93.15,91.07,92.15,4518500,90.80
2014-09-18,92.81,92.90,91.93,92.26,1569200,90.91
2014-09-17,92.77,93.28,92.17,92.70,1212200,91.34
2014-09-16,91.40,93.49,91.35,92.87,1240000,91.51
2014-09-15,91.60,91.73,91.10,91.63,1871200,90.29
2014-09-12,92.54,93.01,91.06,91.98,1931800,90.63
2014-09-11,92.51,93.23,92.27,92.95,1347900,91.59
2014-09-10,92.58,93.29,92.50,93.18,1461100,91.82
2014-09-09,93.39,94.37,92.70,92.86,2405600,91.50
2014-09-08,94.48,94.75,93.31,93.51,1228400,92.14
2014-09-05,93.86,95.06,93.86,94.87,1941900,93.48
2014-09-04,94.90,95.00,93.76,94.12,1819400,92.74
2014-09-03,95.57,95.90,94.90,94.90,1866100,93.51
2014-09-02,96.50,96.50,95.34,95.63,1470700,94.23
2014-09-01,96.38,96.38,96.38,96.38,000,94.97
2014-08-29,95.10,96.77,94.92,96.38,1695400,94.97
2014-08-28,95.20,95.30,94.72,95.09,2789200,93.70
2014-08-27,95.51,95.83,94.41,95.41,4096200,94.01
2014-08-26,96.59,96.82,95.60,95.77,2883700,94.37
2014-08-25,96.75,97.70,96.20,96.70,2650100,95.28
2014-08-22,97.97,98.05,96.84,97.27,2231800,95.85
2014-08-21,98.61,98.85,98.20,98.28,2124900,96.84
2014-08-20,98.31,99.42,98.13,98.83,2633100,97.38
2014-08-19,97.45,98.90,97.26,98.47,3869100,97.03
2014-08-18,97.24,98.68,97.24,98.07,7128300,96.63
2014-08-15,96.41,99.00,96.28,98.90,9652500,97.45
