Date,Open,High,Low,Close,Volume,Adj Close
2015-03-06,123.30,125.96,123.19,124.43,1126900,124.43
2015-03-05,122.64,123.27,121.55,123.22,724800,123.22
2015-03-04,121.95,122.53,121.53,122.45,593300,122.45
2015-03-03,122.30,122.96,121.80,122.73,641100,122.73
2015-03-02,121.00,123.01,120.83,122.77,751400,122.77
2015-02-27,121.28,121.69,120.55,121.00,600400,121.00
2015-02-26,120.86,121.46,120.56,121.35,951500,121.35
2015-02-25,121.70,121.72,120.91,121.56,659500,120.86
2015-02-24,121.09,122.30,120.99,121.58,872700,120.88
2015-02-23,121.05,121.37,120.41,121.20,468100,120.50
2015-02-20,120.73,121.61,119.46,121.34,1243000,120.64
2015-02-19,121.63,121.99,120.34,121.21,709300,120.51
2015-02-18,123.70,123.90,121.44,121.70,775100,121.00
2015-02-17,123.89,124.80,122.99,124.03,631500,123.32
2015-02-13,123.58,124.39,122.85,123.90,747200,123.19
2015-02-12,120.95,123.41,120.83,123.38,792800,122.67
2015-02-11,120.69,121.03,119.78,120.53,419700,119.84
2015-02-10,121.41,121.44,120.12,121.15,412100,120.45
2015-02-09,120.67,121.42,119.91,120.60,467700,119.91
2015-02-06,121.31,123.90,120.26,121.65,835200,120.95
2015-02-05,118.97,119.62,118.82,119.46,770000,118.77
2015-02-04,117.86,119.55,117.73,118.59,866500,117.91
2015-02-03,116.00,118.35,116.00,118.29,706100,117.61
2015-02-02,114.01,115.74,113.21,115.55,973900,114.88
2015-01-30,113.63,115.01,113.06,113.16,1035200,112.51
2015-01-29,113.62,115.49,113.27,115.40,680600,114.74
2015-01-28,116.50,116.93,113.72,113.72,1107800,113.07
2015-01-27,115.54,116.90,115.13,116.15,828500,115.48
2015-01-26,115.00,116.91,114.25,116.90,600500,116.23
2015-01-23,116.59,117.22,115.19,115.22,438500,114.56
2015-01-22,112.78,117.53,112.69,117.13,966700,116.46
2015-01-21,112.50,113.75,111.78,112.28,1092500,111.63
2015-01-20,115.25,116.91,112.64,112.86,1013500,112.21
2015-01-16,114.00,115.84,113.71,115.03,1232600,114.37
2015-01-15,114.87,116.43,113.68,114.38,1020400,113.72
2015-01-14,117.03,117.90,112.95,115.31,1355900,114.65
2015-01-13,118.82,119.83,118.25,118.85,1703100,118.17
2015-01-12,118.85,118.85,116.89,118.07,1157700,117.39
2015-01-09,121.19,121.19,118.85,118.85,582500,118.17
2015-01-08,120.09,121.62,119.59,121.29,753100,120.59
2015-01-07,119.84,120.12,117.58,118.88,748100,118.20
2015-01-06,121.53,121.65,117.92,118.63,887500,117.95
2015-01-05,124.39,124.49,121.06,121.35,663800,120.65
2015-01-02,126.42,126.79,123.89,125.39,438400,124.67
2014-12-31,127.79,127.79,125.57,125.62,399700,124.90
