Date,Open,High,Low,Close,Volume,Adj Close
2015-03-06,97.91,98.51,97.36,97.46,1192500,97.46
2015-03-05,99.14,99.50,98.48,98.95,1477900,98.95
2015-03-04,98.39,99.22,97.69,99.04,1259300,99.04
2015-03-03,100.00,100.31,98.89,99.06,1270200,99.06
2015-03-02,99.82,100.45,99.62,100.07,1021800,100.07
2015-02-27,102.92,103.26,102.38,102.40,850000,99.58
2015-02-26,102.28,103.00,102.12,103.00,908700,100.17
2015-02-25,102.63,102.97,102.05,102.64,999200,99.82
2015-02-24,102.22,102.99,102.05,102.65,1655400,99.83
2015-02-23,103.28,103.40,102.48,103.00,1350100,100.17
2015-02-20,101.32,102.82,101.12,102.60,1088100,99.78
2015-02-19,102.30,102.70,102.00,102.25,931000,99.44
2015-02-18,102.19,102.36,101.41,102.17,1219900,99.36
2015-02-17,102.12,102.30,101.49,102.25,1534100,99.44
2015-02-13,101.99,102.52,101.73,102.20,1526400,99.39
2015-02-12,100.45,102.37,100.38,102.37,1823500,99.55
2015-02-11,101.42,102.33,101.39,102.28,1717000,99.47
2015-02-10,101.98,102.34,101.45,102.27,2639500,99.46
2015-02-09,102.26,103.50,102.14,102.46,4349700,99.64
2015-02-06,99.42,99.74,98.30,98.75,2556400,96.03
2015-02-05,97.45,97.79,96.82,97.79,2445000,95.10
2015-02-04,98.99,99.10,97.86,98.15,2414800,95.45
2015-02-03,97.54,97.66,96.53,97.41,1351000,94.73
2015-02-02,97.24,97.66,96.35,97.65,1539200,94.96
2015-01-30,97.90,98.52,97.39,97.40,1483700,94.72
2015-01-29,98.21,99.21,97.93,99.16,1935400,96.43
2015-01-28,98.43,99.07,97.03,97.11,1985000,94.44
2015-01-27,98.48,99.54,98.01,98.93,3132400,96.21
2015-01-26,98.02,98.02,96.05,96.49,4615600,93.84
2015-01-23,98.01,98.06,96.71,96.87,1882300,94.21
2015-01-22,96.10,97.11,95.86,96.84,3062400,94.18
2015-01-21,99.60,99.89,98.10,98.75,6145100,96.03
2015-01-20,102.53,102.59,100.68,101.48,2847400,98.69
2015-01-16,99.54,101.21,98.88,100.95,8590500,98.17
2015-01-15,98.72,100.82,97.43,100.58,11050800,97.81
2015-01-14,96.47,97.07,96.22,96.81,2192800,94.15
2015-01-13,96.61,97.12,95.67,96.36,1727600,93.71
2015-01-12,96.00,96.10,95.19,95.48,1264200,92.85
2015-01-09,96.46,96.81,95.73,96.12,1977500,93.48
2015-01-08,94.17,95.67,94.00,95.27,1932600,92.65
2015-01-07,91.35,92.30,91.25,92.07,1432300,89.54
2015-01-06,92.38,92.73,90.98,91.67,1180100,89.15
2015-01-05,93.43,93.45,92.18,92.45,1378000,89.91
2015-01-02,92.83,93.05,92.01,92.25,723900,89.71
2014-12-31,93.29,93.82,92.53,92.66,922500,90.11
2014-12-30,93.42,93.62,92.97,93.21,631800,90.65
2014-12-29,94.09,94.32,93.68,93.86,1243200,91.28
2014-12-26,94.23,94.34,93.78,94.10,390200,91.51
2014-12-24,93.29,94.04,93.29,93.91,471400,91.33
2014-12-23,94.68,94.83,92.85,93.25,1974400,90.68
2014-12-22,95.27,95.54,95.03,95.30,1236600,92.68
2014-12-19,94.41,95.00,94.00,94.61,1593000,92.01
2014-12-18,93.69,94.57,93.43,94.57,1275300,91.97
2014-12-17,91.69,92.68,91.48,92.29,2071000,89.75
2014-12-16,91.19,92.83,91.11,91.65,1371300,89.13
2014-12-15,93.10,93.37,91.55,91.64,1195900,89.12
2014-12-12,94.69,94.77,93.52,93.52,1606000,90.95
2014-12-11,94.27,95.05,94.17,94.34,962200,91.74
2014-12-10,95.01,95.03,94.06,94.24,1449800,91.65
2014-12-09,95.01,95.17,93.68,94.34,1503100,91.74
2014-12-08,95.69,96.03,95.59,95.77,656300,93.14
2014-12-05,95.40,96.05,95.29,95.83,737800,93.19
2014-12-04,95.79,96.20,95.39,95.77,1330700,93.14
2014-12-03,95.55,95.84,95.04,95.66,1651100,93.03
2014-12-02,95.11,96.10,94.90,95.98,2601900,93.34
2014-12-01,96.85,96.90,96.23,96.39,891000,93.74
2014-11-28,96.51,96.97,96.43,96.65,445700,93.99
2014-11-26,95.10,95.74,95.07,95.56,802600,92.93
2014-11-25,94.73,95.10,94.60,95.04,1795900,92.43
2014-11-24,94.84,95.11,94.57,94.77,759600,92.16
2014-11-21,94.86,95.07,94.62,94.98,1415500,92.37
2014-11-20,95.39,95.61,95.07,95.27,628900,92.65
2014-11-19,95.58,96.02,95.20,95.73,1346000,93.10
2014-11-18,95.07,95.80,94.97,95.58,1020000,92.95
2014-11-17,94.10,94.75,94.04,94.38,1071100,91.78
2014-11-14,93.78,94.15,93.43,93.95,1284600,91.37
2014-11-13,93.67,94.60,93.65,94.38,1242500,91.78
2014-11-12,92.63,93.13,92.48,92.66,639500,90.11
2014-11-11,92.52,92.81,92.11,92.77,990100,90.22
2014-11-10,92.31,92.64,91.89,92.63,833400,90.08
2014-11-07,91.68,91.87,91.19,91.76,1097100,89.24
2014-11-06,92.14,92.60,91.93,92.03,815100,89.50
2014-11-05,92.90,92.93,92.34,92.63,828500,90.08
2014-11-04,92.07,92.22,91.32,91.93,918500,89.40
2014-11-03,91.73,91.85,91.18,91.70,1077000,89.18
2014-10-31,92.42,92.93,92.24,92.69,967000,90.14
2014-10-30,90.71,92.23,90.00,91.95,844800,89.42
