Date,Open,High,Low,Close,Volume,Adj Close
2015-03-06,52.96,52.96,52.96,52.96,000,52.96
2015-03-05,51.69,51.69,51.69,51.69,000,51.69
2015-03-04,51.29,51.29,51.29,51.29,000,51.29
2015-03-03,51.51,51.51,51.51,51.51,000,51.51
2015-03-02,52.55,52.55,52.55,52.55,000,52.55
2015-02-27,52.63,52.63,52.63,52.63,000,52.63
2015-02-26,51.20,51.20,51.20,51.20,000,51.20
2015-02-25,52.11,52.11,52.11,52.11,000,52.11
2015-02-24,52.15,52.15,52.15,52.15,000,52.15
2015-02-23,52.53,52.53,52.53,52.53,000,52.53
2015-02-20,51.30,51.30,51.30,51.30,000,51.30
2015-02-19,48.12,48.12,48.12,48.12,000,48.12
2015-02-18,47.56,47.56,47.56,47.56,000,47.56
2015-02-17,47.15,47.15,47.15,47.15,000,47.15
2015-02-16,47.37,47.37,47.37,47.37,000,47.37
2015-02-13,47.42,47.42,47.42,47.42,000,47.42
2015-02-12,47.56,47.56,47.56,47.56,000,47.56
2015-02-11,47.27,47.27,47.27,47.27,000,47.27
2015-02-10,46.78,46.78,46.78,46.78,000,46.78
2015-02-09,46.98,46.98,46.98,46.98,000,46.98
2015-02-06,47.25,47.25,47.25,47.25,000,47.25
2015-02-05,46.36,46.36,46.36,46.36,000,46.36
2015-02-04,47.26,47.26,47.26,47.26,000,47.26
2015-02-03,46.62,46.62,46.62,46.62,000,46.62
2015-02-02,46.67,46.67,46.67,46.67,000,46.67
2015-01-30,45.90,45.90,45.90,45.90,000,45.90
2015-01-29,45.58,45.58,45.58,45.58,000,45.58
2015-01-28,45.86,45.86,45.86,45.86,000,45.86
2015-01-27,46.17,46.17,46.17,46.17,000,46.17
2015-01-26,45.85,45.85,45.85,45.85,000,45.85
2015-01-23,45.00,45.00,45.00,45.00,000,45.00
2015-01-22,43.31,43.31,43.31,43.31,000,43.31
2015-01-21,43.22,43.22,43.22,43.22,000,43.22
2015-01-20,42.39,42.39,42.39,42.39,000,42.39
2015-01-19,41.66,41.66,41.66,41.66,000,41.66
2015-01-16,41.22,41.22,41.22,41.22,000,41.22
2015-01-15,40.67,40.67,40.67,40.67,000,40.67
2015-01-14,40.53,40.53,40.53,40.53,000,40.53
2015-01-13,40.71,40.71,40.71,40.71,000,40.71
2015-01-12,40.45,40.45,40.45,40.45,000,40.45
2015-01-09,40.24,40.24,40.24,40.24,000,40.24
2015-01-08,39.33,39.33,39.33,39.33,000,39.33
2015-01-07,38.45,38.45,38.45,38.45,000,38.45
2015-01-06,38.79,38.79,38.79,38.79,000,38.79
2015-01-05,39.73,39.73,39.73,39.73,000,39.73
2015-01-02,40.00,40.00,40.00,40.00,000,40.00
2015-01-01,40.10,40.10,40.10,40.10,000,40.10
2014-12-31,40.10,40.10,40.10,40.10,000,40.10
2014-12-30,39.92,40.10,39.92,40.10,000,40.10
2014-12-29,40.29,40.29,40.29,40.29,000,40.29
2014-12-26,39.60,39.60,39.60,39.60,000,39.60
2014-12-25,39.60,39.60,39.60,39.60,000,39.60
2014-12-24,39.60,39.60,39.60,39.60,000,39.60
2014-12-23,39.60,39.60,39.60,39.60,000,39.60
2014-12-22,39.12,39.12,39.12,39.12,000,39.12
2014-12-19,39.29,39.29,39.29,39.29,000,39.29
2014-12-18,38.27,38.27,38.27,38.27,000,38.27
2014-12-17,37.26,37.26,37.26,37.26,000,37.26
2014-12-16,36.84,36.84,36.84,36.84,000,36.84
2014-12-15,37.22,37.22,37.22,37.22,000,37.22
2014-12-12,37.79,37.79,37.79,37.79,000,37.79
2014-12-11,38.67,38.67,38.67,38.67,000,38.67
2014-12-10,39.47,39.47,39.47,39.47,000,39.47
2014-12-09,40.06,40.06,40.06,40.06,000,40.06
2014-12-08,40.44,40.44,40.44,40.44,000,40.44
2014-12-05,40.15,40.15,40.15,40.15,000,40.15
2014-12-04,40.47,40.47,40.47,40.47,000,40.47
2014-12-03,40.22,40.22,40.22,40.22,000,40.22
2014-12-02,40.10,40.10,40.10,40.10,000,40.10
2014-12-01,39.39,39.39,39.39,39.39,000,39.39
2014-11-28,39.47,39.47,39.47,39.47,000,39.47
2014-11-27,40.03,40.03,40.03,40.03,000,40.03
2014-11-26,39.76,39.76,39.76,39.76,000,39.76
2014-11-25,39.44,39.44,39.44,39.44,000,39.44
2014-11-24,38.88,38.88,38.88,38.88,000,38.88
2014-11-21,37.94,37.94,37.94,37.94,000,37.94
2014-11-20,36.10,36.10,36.10,36.10,000,36.10
2014-11-19,36.22,36.22,36.22,36.22,000,36.22
2014-11-18,35.78,35.78,35.78,35.78,000,35.78
2014-11-17,35.07,35.07,35.07,35.07,000,35.07
2014-11-14,35.53,35.53,35.53,35.53,000,35.53
2014-11-13,35.78,35.78,35.78,35.78,000,35.78
2014-11-12,35.91,35.91,35.91,35.91,000,35.91
2014-11-11,35.74,35.74,35.74,35.74,000,35.74
2014-11-10,34.94,34.94,34.94,34.94,000,34.94
2014-11-07,35.58,35.58,35.58,35.58,000,35.58
2014-11-06,34.63,34.63,34.63,34.63,000,34.63
2014-11-05,34.85,34.85,34.85,34.85,000,34.85
2014-11-04,35.38,35.38,35.38,35.38,000,35.38
2014-11-03,35.14,35.14,35.14,35.14,000,35.14
2014-10-31,35.54,35.54,35.54,35.54,000,35.54
2014-10-30,34.66,34.66,34.66,34.66,000,34.66
2014-10-29,35.01,35.01,35.01,35.01,000,35.01
2014-10-28,33.69,34.64,33.69,34.64,000,34.64
2014-10-27,34.11,34.11,34.11,34.11,000,34.11
