Date,Open,High,Low,Close,Volume,Adj Close
2015-03-06,108.31,108.74,107.50,107.85,114200,107.85
2015-03-05,109.93,110.34,109.45,109.61,183100,109.61
2015-03-04,108.71,109.19,107.90,109.00,140800,109.00
2015-03-03,109.92,110.17,109.48,110.00,115900,110.00
2015-03-02,110.53,110.76,110.15,110.50,103700,110.50
2015-02-27,111.67,112.00,111.11,111.62,111400,111.62
2015-02-26,110.68,111.20,110.63,110.99,169600,110.99
2015-02-25,111.89,112.31,111.76,112.30,103500,112.30
2015-02-24,114.20,114.20,110.47,111.90,132800,111.90
2015-02-23,110.52,111.10,110.35,110.80,126000,110.80
2015-02-20,109.42,112.05,109.35,111.69,130200,111.69
2015-02-19,110.71,111.19,110.30,110.59,49600,110.59
2015-02-18,109.65,110.56,109.55,110.12,108300,110.12
2015-02-17,108.94,109.77,108.35,109.13,115200,109.13
2015-02-13,109.41,109.88,108.95,109.87,142400,109.87
2015-02-12,107.17,108.11,106.86,107.88,237800,107.88
2015-02-11,106.73,106.91,104.80,105.20,356500,105.20
2015-02-10,106.78,107.74,106.12,107.40,101100,107.40
2015-02-09,105.84,106.91,105.74,106.45,87000,106.45
2015-02-06,108.01,108.36,107.09,107.43,197000,107.43
2015-02-05,109.01,110.55,109.01,110.41,182000,110.41
2015-02-04,108.89,109.34,108.15,108.15,165400,108.15
2015-02-03,109.83,110.92,109.83,110.92,132600,110.92
2015-02-02,106.10,108.08,105.85,108.05,134800,108.05
2015-01-30,105.74,106.00,104.36,104.59,485100,104.59
2015-01-29,106.32,106.90,105.46,106.68,167200,106.68
2015-01-28,107.31,108.20,105.84,105.84,274700,105.84
2015-01-27,110.01,111.02,109.11,110.26,228000,110.26
2015-01-26,112.03,113.35,111.51,112.50,180800,112.50
2015-01-23,110.89,110.89,109.22,110.20,179800,110.20
2015-01-22,113.64,114.50,112.82,113.79,143500,110.04
2015-01-21,113.75,115.00,113.42,114.61,265700,110.83
2015-01-20,113.55,113.59,112.40,113.41,351400,109.67
2015-01-16,109.39,111.84,108.85,111.39,122600,107.72
2015-01-15,109.98,110.59,109.24,110.06,127200,106.43
2015-01-14,109.43,110.44,109.01,110.22,91000,106.59
2015-01-13,110.37,110.75,108.52,109.60,123200,105.99
2015-01-12,110.69,111.00,108.85,108.93,160900,105.34
2015-01-09,110.87,111.00,109.08,109.94,79800,106.32
2015-01-08,109.60,111.50,109.45,111.10,104300,107.44
2015-01-07,108.81,109.26,107.77,108.96,207100,105.37
2015-01-06,109.02,109.85,108.21,108.65,183800,105.07
2015-01-05,109.99,110.08,108.35,108.80,169300,105.22
2015-01-02,113.30,113.58,112.29,112.77,65000,109.06
2014-12-31,113.22,113.25,111.70,112.00,143300,108.31
2014-12-30,114.23,114.31,113.20,113.29,99500,109.56
2014-12-29,114.38,115.45,114.07,114.31,322700,110.54
2014-12-26,115.76,115.98,115.45,115.45,48600,111.65
2014-12-24,116.00,116.00,114.81,115.74,32400,111.93
2014-12-23,115.36,115.50,114.80,114.82,109100,111.04
2014-12-22,114.86,114.96,114.26,114.74,100400,110.96
2014-12-19,113.90,114.70,113.08,113.28,424900,109.55
2014-12-18,114.54,115.41,114.27,115.30,209900,111.50
2014-12-17,112.66,114.64,112.63,113.60,106200,109.86
2014-12-16,110.58,114.20,110.52,112.60,143300,108.89
2014-12-15,113.97,114.22,110.40,110.84,106400,107.19
2014-12-12,115.05,115.57,113.09,113.20,59400,109.47
2014-12-11,115.90,116.36,115.15,115.20,66500,111.41
2014-12-10,116.02,116.18,114.74,114.84,207500,111.06
2014-12-09,114.17,115.44,114.04,115.44,104300,111.64
2014-12-08,115.65,116.03,115.31,115.78,120400,111.97
2014-12-05,115.43,116.20,115.16,115.89,96200,112.07
2014-12-04,114.90,115.65,113.90,115.06,194200,111.27
2014-12-03,115.63,115.84,115.25,115.72,197700,111.91
2014-12-02,116.83,117.00,116.05,116.26,97700,112.43
2014-12-01,117.93,118.10,117.41,117.82,95300,113.94
2014-11-28,118.30,118.80,117.63,118.00,46200,114.11
2014-11-26,119.28,120.26,119.28,120.26,165200,116.30
2014-11-25,118.47,119.29,118.26,119.15,277400,115.23
2014-11-24,117.40,117.87,116.99,117.46,167700,113.59
2014-11-21,116.67,116.80,115.77,116.16,111200,112.33
2014-11-20,113.51,114.30,113.41,114.13,92800,110.37
2014-11-19,114.36,115.00,113.60,114.58,231000,110.81
2014-11-18,113.24,114.46,113.13,114.40,191400,110.63
2014-11-17,110.38,111.00,110.22,110.81,80200,107.16
2014-11-14,109.57,110.90,109.44,110.83,87700,107.18
2014-11-13,109.52,110.59,109.39,109.79,111400,106.17
2014-11-12,109.54,110.75,109.32,109.65,113500,106.04
2014-11-11,110.48,111.35,110.14,111.10,104800,107.44
2014-11-10,109.94,110.24,109.55,109.93,129800,106.31
2014-11-07,109.40,109.90,108.15,109.55,261900,105.94
2014-11-06,112.53,112.98,110.90,111.03,345200,107.37
2014-11-05,110.61,111.23,110.13,110.68,269500,107.03
2014-11-04,111.92,111.96,110.12,110.48,187000,106.84
2014-11-03,112.00,112.11,111.21,111.40,106400,107.73
2014-10-31,111.97,112.98,111.58,112.74,233600,109.03
2014-10-30,109.00,110.89,108.86,110.50,174900,106.86
2014-10-29,112.31,112.63,110.02,110.40,102000,106.76
2014-10-28,110.50,111.35,110.45,111.21,140500,107.55
2014-10-27,108.37,109.91,107.76,109.23,78400,105.63
2014-10-24,109.45,109.71,109.06,109.34,477900,105.74
2014-10-23,108.88,110.00,108.79,109.61,96600,106.00
2014-10-22,108.68,108.99,107.10,107.37,126100,103.83
2014-10-21,107.46,109.55,107.46,109.37,137300,105.77
2014-10-20,106.01,106.94,105.87,106.83,132600,103.31
2014-10-17,106.92,108.00,106.25,107.16,109500,103.63
2014-10-16,103.20,106.44,103.20,105.50,191200,102.03
2014-10-15,105.99,106.47,104.09,106.38,214600,102.88
2014-10-14,107.13,107.66,106.38,106.70,184600,103.19
2014-10-13,107.88,108.25,106.15,106.21,289000,102.71
2014-10-10,106.97,107.00,104.78,104.90,546000,101.44
2014-10-09,111.73,112.28,108.91,109.08,562500,105.49
2014-10-08,110.36,111.86,109.43,111.76,469700,108.08
2014-10-07,111.28,111.54,110.12,110.23,594700,106.60
2014-10-06,113.05,113.40,112.43,113.10,532400,109.37
2014-10-03,116.20,116.20,114.91,115.55,142800,111.74
2014-10-02,117.23,117.31,115.57,116.16,114800,112.33
2014-10-01,118.53,118.54,116.60,117.20,177900,113.34
2014-09-30,118.52,119.66,118.32,119.07,74200,115.15
2014-09-29,118.13,118.93,118.04,118.76,121600,114.85
2014-09-26,119.40,119.95,118.84,119.86,66400,115.91
2014-09-25,120.28,120.28,118.41,118.72,158400,114.81
2014-09-24,120.30,121.38,120.00,121.18,90300,117.19
2014-09-23,121.57,122.15,120.96,121.06,87900,117.07
2014-09-22,123.93,123.93,122.57,122.94,89900,118.89
2014-09-19,124.66,124.76,123.58,124.00,120300,119.92
2014-09-18,125.52,126.40,125.30,126.40,49600,122.24
2014-09-17,127.02,127.60,126.36,126.63,65800,122.46
2014-09-16,125.69,127.31,125.69,126.95,53700,122.77
2014-09-15,126.11,126.40,125.85,125.86,61600,121.71
2014-09-12,125.27,126.05,124.82,125.68,76900,121.54
2014-09-11,125.87,126.40,125.64,125.95,26100,121.80
2014-09-10,125.77,126.61,125.73,126.55,33400,122.38
2014-09-09,126.44,126.91,126.29,126.60,74100,122.43
2014-09-08,126.99,127.20,126.10,126.27,81100,122.11
2014-09-05,127.47,127.78,127.00,127.69,65600,123.48
2014-09-04,127.33,128.25,126.97,127.30,107700,123.11
2014-09-03,127.47,127.78,127.21,127.27,78700,123.08
2014-09-02,126.01,126.30,125.49,126.15,88700,121.99
2014-08-29,125.00,125.40,124.15,125.30,51200,121.17
2014-08-28,125.00,125.55,124.80,125.25,78700,121.12
2014-08-27,127.49,127.60,126.90,127.02,57500,122.84
2014-08-26,127.06,127.75,126.92,127.15,84300,122.96
2014-08-25,125.61,126.95,125.54,126.45,54200,122.29
2014-08-22,124.76,124.90,123.43,124.39,42900,120.29
2014-08-21,125.14,126.00,124.03,125.86,140400,121.71
2014-08-20,123.24,123.89,123.04,123.63,65900,119.56
2014-08-19,123.80,123.85,123.40,123.74,73300,119.66
2014-08-18,122.71,123.24,122.67,123.20,46600,119.14
2014-08-15,124.34,124.73,120.68,122.02,140000,118.00
2014-08-14,123.18,123.60,122.57,122.95,119200,118.90
2014-08-13,120.80,121.75,120.70,121.30,111700,117.30
2014-08-12,119.76,119.91,118.96,119.55,70200,115.61
2014-08-11,121.00,121.33,120.65,120.93,478600,116.95
2014-08-08,118.96,120.00,118.65,120.00,86400,116.05
2014-08-07,120.80,121.11,118.50,118.75,127500,114.84
2014-08-06,119.56,120.82,119.38,120.38,124900,116.41
2014-08-05,120.90,120.91,119.05,119.33,92500,115.40
2014-08-04,121.18,121.36,120.00,120.99,185400,117.00
2014-08-01,121.93,122.60,120.44,120.95,188900,116.97
2014-07-31,126.14,126.20,123.24,123.52,210800,119.45
2014-07-30,124.55,124.80,123.50,123.82,194200,119.74
