Date,Open,High,Low,Close,Volume,Adj Close
2015-03-06,100.38,101.22,100.17,100.62,3000200,100.62
2015-03-05,100.67,100.95,100.32,100.72,2589300,100.72
2015-03-04,101.00,101.35,100.30,100.42,4461000,100.42
2015-03-03,101.38,101.91,101.19,101.50,2767400,101.50
2015-03-02,101.73,102.37,101.48,101.93,2315600,101.93
2015-02-27,101.81,102.44,101.70,101.73,2130900,101.73
2015-02-26,101.68,102.18,101.50,101.86,2125500,101.86
2015-02-25,102.45,102.58,101.75,101.96,2215100,101.96
2015-02-24,101.75,102.42,101.64,102.32,2715800,102.32
2015-02-23,102.09,102.09,101.45,101.77,1728100,101.77
2015-02-20,101.49,102.05,100.95,101.96,3411700,101.96
2015-02-19,102.06,102.46,101.64,101.70,2435200,101.70
2015-02-18,102.51,102.80,102.05,102.62,2348400,101.89
2015-02-17,101.90,102.82,101.66,102.51,3814800,101.78
2015-02-13,101.17,101.97,101.10,101.79,2106000,101.07
2015-02-12,100.87,101.68,100.56,101.41,2981600,100.69
2015-02-11,101.10,101.77,100.52,100.91,2826100,100.19
2015-02-10,100.84,101.31,100.15,101.08,2750900,100.36
2015-02-09,100.32,100.98,99.87,100.46,2626200,99.75
2015-02-06,101.13,101.56,100.32,100.67,2941600,99.95
2015-02-05,100.99,102.24,100.70,101.46,4026400,100.74
2015-02-04,100.07,101.26,99.84,100.53,4278600,99.81
2015-02-03,100.89,101.64,99.24,100.57,5581600,99.85
2015-02-02,99.00,100.26,98.34,100.13,3811800,99.42
2015-01-30,99.54,101.27,98.81,98.84,5916300,98.14
2015-01-29,99.26,100.70,98.29,100.42,4648300,99.71
2015-01-28,101.16,101.91,99.20,99.30,5481400,98.59
2015-01-27,100.56,101.94,100.56,100.85,4766300,100.13
2015-01-26,101.70,102.50,99.60,102.35,10903700,101.62
2015-01-23,103.70,104.98,102.70,102.93,19275400,102.20
2015-01-22,112.46,114.40,111.90,114.25,3008100,113.44
2015-01-21,111.12,112.32,110.79,111.68,2144300,110.89
2015-01-20,110.87,111.62,109.84,111.31,4124800,110.52
2015-01-16,109.30,110.34,108.46,110.30,4495200,109.52
2015-01-15,109.37,110.36,109.04,109.29,2839700,108.51
2015-01-14,109.02,109.68,108.44,109.37,2981000,108.59
2015-01-13,110.49,111.87,109.43,110.11,3233600,109.33
2015-01-12,109.92,110.60,109.10,109.64,2196400,108.86
2015-01-09,110.43,110.65,109.12,109.60,2059700,108.82
2015-01-08,109.29,110.63,109.29,110.41,2876100,109.62
2015-01-07,108.26,108.77,107.59,108.46,1949500,107.69
2015-01-06,108.17,108.87,106.52,107.46,3808900,106.70
2015-01-05,109.99,109.99,107.96,108.17,3519600,107.40
2015-01-02,111.27,111.65,109.40,110.38,2662900,109.59
2014-12-31,112.45,112.70,111.07,111.17,1393800,110.38
2014-12-30,112.30,112.91,111.74,112.14,2346100,111.34
2014-12-29,111.78,112.66,111.48,112.45,1760600,111.65
2014-12-26,112.44,112.58,111.80,111.93,1289600,111.13
2014-12-24,112.82,113.07,112.41,112.41,1283300,111.61
2014-12-23,112.09,113.10,112.09,112.45,2664400,111.65
2014-12-22,111.37,112.00,111.01,112.00,2349800,111.20
2014-12-19,110.80,111.99,110.37,110.96,5581100,110.17
2014-12-18,109.73,111.10,109.31,110.93,3766100,110.14
2014-12-17,108.82,109.00,106.47,108.55,6501500,107.78
2014-12-16,110.27,111.40,109.83,109.83,4884300,109.05
2014-12-15,110.17,111.50,110.06,110.75,4275700,109.96
2014-12-12,110.35,111.22,109.95,110.00,4212900,109.22
2014-12-11,110.44,111.57,110.13,110.63,3574800,109.84
2014-12-10,110.19,111.24,109.35,110.06,4480700,109.28
2014-12-09,109.27,110.09,108.62,110.03,2961300,109.25
2014-12-08,111.10,111.10,110.01,110.21,3085400,109.43
2014-12-05,110.63,111.25,110.37,110.98,1912400,110.19
2014-12-04,110.78,110.78,109.70,110.43,2402200,109.64
2014-12-03,110.78,111.22,110.31,110.90,3428900,110.11
2014-12-02,110.33,111.16,110.04,110.41,3330400,109.62
2014-12-01,110.30,111.32,109.06,109.79,4819000,109.01
2014-11-28,109.20,111.09,108.80,109.92,3988800,109.14
2014-11-26,107.13,107.39,106.72,106.98,1783900,106.22
2014-11-25,107.23,107.68,106.96,107.12,2735900,106.36
2014-11-24,107.65,107.98,107.24,107.26,2688800,106.50
2014-11-21,107.61,108.55,107.17,107.35,3806100,106.59
2014-11-20,105.34,107.34,105.16,106.71,6990100,105.95
2014-11-19,105.83,106.18,105.38,105.64,3621400,104.89
2014-11-18,106.82,106.91,105.97,106.03,3360700,105.28
2014-11-17,106.75,106.98,106.24,106.47,2918400,105.71
2014-11-14,107.93,107.98,106.48,106.83,4476100,106.07
2014-11-13,108.61,108.85,106.18,107.79,5920400,107.02
2014-11-12,108.44,108.74,107.76,108.62,3568800,107.18
2014-11-11,109.24,109.40,108.38,108.76,2746900,107.32
2014-11-10,108.33,109.30,107.93,109.05,3635600,107.61
2014-11-07,108.50,108.60,107.77,108.33,3172300,106.90
2014-11-06,107.78,108.39,107.33,108.29,2990400,106.86
2014-11-05,107.94,108.07,106.82,107.54,3124900,106.12
2014-11-04,105.73,108.00,105.72,107.08,4777300,105.66
2014-11-03,104.91,105.72,104.66,105.64,3592400,104.24
2014-10-31,104.60,105.84,104.56,104.91,5470400,103.52
2014-10-30,102.01,103.79,101.91,103.29,3019900,101.92
2014-10-29,102.93,103.45,101.51,102.62,2727200,101.26
2014-10-28,102.50,103.01,102.31,102.90,3530500,101.54
2014-10-27,100.53,102.39,100.22,102.25,4172900,100.90
2014-10-24,102.95,103.24,100.40,100.59,4249700,99.26
2014-10-23,100.03,101.24,100.03,100.48,4168000,99.15
2014-10-22,100.73,100.75,99.01,99.06,3564900,97.75
2014-10-21,98.89,100.91,98.69,100.75,3629800,99.42
2014-10-20,96.87,98.08,96.87,98.08,3014700,96.78
2014-10-17,96.40,97.54,96.21,97.26,3617900,95.97
