Date,Open,High,Low,Close,Volume,Adj Close
2015-03-02,4.70,4.80,4.70,4.80,300,4.80
2015-02-27,5.00,5.00,5.00,5.00,000,5.00
2015-02-26,5.42,5.42,5.42,5.42,000,5.42
2015-02-25,5.42,5.42,5.42,5.42,000,5.42
2015-02-24,4.90,4.90,4.90,4.90,200,4.90
2015-02-23,5.20,5.28,4.90,4.90,1000,4.90
2015-02-20,5.41,5.41,5.20,5.20,800,5.20
2015-02-19,5.43,5.50,5.43,5.50,000,5.50
2015-02-18,5.50,5.50,5.50,5.50,000,5.50
2015-02-17,5.52,5.52,5.50,5.50,900,5.50
2015-02-16,5.50,5.50,5.50,5.50,000,5.50
2015-02-13,5.51,5.51,5.50,5.50,000,5.50
2015-02-12,5.56,5.56,5.56,5.56,000,5.56
2015-02-11,5.56,5.60,5.42,5.60,1100,5.60
2015-02-10,5.58,5.58,5.58,5.58,000,5.58
2015-02-09,5.30,5.30,5.30,5.30,000,5.30
2015-02-06,5.44,5.44,5.44,5.44,000,5.44
2015-02-05,5.90,5.90,5.90,5.90,1000,5.90
2015-02-04,5.30,5.30,5.30,5.30,000,5.30
2015-02-03,5.30,5.30,5.30,5.30,000,5.30
2015-02-02,5.56,5.56,5.30,5.30,300,5.30
2015-01-30,5.86,5.86,5.60,5.60,000,5.60
2015-01-29,5.72,5.72,5.72,5.72,000,5.72
2015-01-28,5.72,5.80,5.72,5.80,000,5.80
2015-01-27,5.61,5.61,5.61,5.61,000,5.61
2015-01-26,5.73,5.73,5.73,5.73,000,5.73
2015-01-23,6.05,6.05,6.05,6.05,000,6.05
2015-01-22,5.41,5.41,5.41,5.41,000,5.41
2015-01-21,5.73,5.73,5.73,5.73,000,5.73
2015-01-20,5.70,5.70,5.70,5.70,000,5.70
2015-01-19,5.93,5.93,5.93,5.93,000,5.93
2015-01-16,5.84,5.84,5.84,5.84,000,5.84
2015-01-15,5.30,5.90,5.30,5.90,1000,5.90
2015-01-14,5.25,5.25,5.25,5.25,000,5.25
2015-01-13,5.15,5.20,5.15,5.20,1100,5.20
2015-01-12,5.00,5.50,5.00,5.50,1000,5.50
2015-01-09,4.40,4.40,4.40,4.40,000,4.40
2015-01-08,4.40,4.40,4.40,4.40,000,4.40
2015-01-07,4.50,4.50,4.50,4.50,000,4.50
2015-01-06,4.50,4.50,4.50,4.50,000,4.50
2015-01-05,4.75,4.75,4.75,4.75,000,4.75
2015-01-02,4.50,4.50,4.50,4.50,000,4.50
2015-01-01,4.50,4.50,4.50,4.50,000,4.50
2014-12-31,4.50,4.50,4.50,4.50,000,4.50
2014-12-30,4.90,4.90,4.50,4.50,000,4.50
2014-12-29,4.90,4.90,4.90,4.90,000,4.90
2014-12-26,4.90,4.90,4.90,4.90,000,4.90
2014-12-25,4.90,4.90,4.90,4.90,000,4.90
2014-12-24,4.90,4.90,4.90,4.90,000,4.90
2014-12-23,4.90,4.90,4.90,4.90,000,4.90
2014-12-22,4.90,4.90,4.90,4.90,000,4.90
2014-12-19,4.46,4.46,4.46,4.46,000,4.46
2014-12-18,4.89,4.89,4.89,4.89,000,4.89
2014-12-17,4.99,4.99,4.99,4.99,000,4.99
2014-12-16,4.52,4.99,4.52,4.99,100,4.99
2014-12-15,4.75,4.75,4.75,4.75,000,4.75
2014-12-12,4.85,4.85,4.75,4.75,000,4.75
2014-12-11,4.85,4.85,4.85,4.85,100,4.85
2014-12-10,4.80,5.00,4.80,4.80,100,4.80
2014-12-09,4.69,4.69,4.69,4.69,100,4.69
2014-12-08,4.69,4.69,4.69,4.69,100,4.69
2014-12-05,4.69,4.69,4.69,4.69,000,4.69
2014-12-04,4.90,4.90,4.90,4.90,000,4.90
2014-12-03,4.90,4.90,4.90,4.90,000,4.90
2014-12-02,4.86,4.86,4.86,4.86,000,4.86
2014-12-01,5.75,5.75,5.75,5.75,000,5.75
2014-11-28,5.75,5.75,5.75,5.75,000,5.75
2014-11-27,5.65,5.85,5.65,5.85,200,5.85
2014-11-26,5.65,5.65,5.65,5.65,000,5.65
2014-11-25,5.56,5.65,5.56,5.65,000,5.65
2014-11-24,5.70,5.70,5.70,5.70,000,5.70
2014-11-21,5.70,5.70,5.70,5.70,000,5.70
2014-11-20,5.70,5.70,5.70,5.70,000,5.70
2014-11-19,5.70,5.70,5.70,5.70,000,5.70
2014-11-18,5.70,5.70,5.70,5.70,000,5.70
2014-11-17,5.70,5.70,5.70,5.70,000,5.70
2014-11-14,5.75,5.75,5.75,5.75,000,5.75
2014-11-13,5.75,5.75,5.75,5.75,000,5.75
2014-11-12,5.80,5.82,5.80,5.82,000,5.82
2014-11-11,5.89,5.89,5.85,5.87,000,5.87
2014-11-10,5.77,6.15,5.77,5.95,100,5.95
2014-11-07,5.28,5.82,5.28,5.82,100,5.82
2014-11-06,4.96,5.45,4.96,5.45,200,5.45
2014-11-05,5.26,5.45,5.26,5.45,000,5.45
2014-11-04,5.19,5.19,5.19,5.19,000,5.19
2014-11-03,5.06,5.35,5.06,5.35,000,5.35
2014-10-31,5.36,5.36,5.06,5.23,200,5.23
2014-10-30,5.36,5.47,5.36,5.36,400,5.36
2014-10-29,5.43,5.48,5.36,5.36,400,5.36
2014-10-28,5.43,5.56,5.43,5.56,100,5.56
2014-10-27,5.57,5.57,5.57,5.57,000,5.57
2014-10-24,5.31,5.31,5.31,5.31,000,5.31
2014-10-23,5.23,5.23,5.23,5.23,000,5.23
2014-10-22,5.34,5.34,5.34,5.34,000,5.34
2014-10-21,5.35,5.35,5.35,5.35,000,5.35
2014-10-20,5.38,5.39,5.31,5.31,000,5.31
2014-10-17,5.38,5.46,5.30,5.38,000,5.38
2014-10-16,5.39,5.39,5.39,5.39,000,5.39
2014-10-15,5.39,5.39,5.39,5.39,000,5.39
2014-10-14,5.40,5.55,5.40,5.55,000,5.55
2014-10-13,5.40,5.77,5.38,5.77,000,5.77
